glottocode,Language,Family,Lat,ULong,Grades,Places,Pitch,Closure,Geminate,ArchiPhonemes,Qualities,Ancillary,TotalVowels,Diphthongs,TotalTones,ContrastiveStress,InitialStress,FinalStress,latitude,longitude
west2443,WembaWemba,Pama-Nyungan,-36,145,1,6,0,0,0,17,6,0,6,,0,No,2,1,-34.13829932,143.6694397
west2599,Kewa,NuclearTNG,-6.5,143.83,2,3,0,0,0,13,6,0,6,0,2,No,1,0,-6.32097,143.73
west2632,Acoma,Keresan,34.92,252.42,3,5,0,0,0,39,5,1,10,,4,,1,0,34.9733,-107.517
wich1260,Wichita,Caddoan,33.33,262.67,1,4,0,0,0,10,3,2,9,0,2,Yes,4,4,35.0665,-98.1831
wich1263,Mataco(Wichi),Matacoan,-23,299,2,4,1,1,0,17,5,0,5,0,,Yes,1,2,-24.2189,-61.9117
wint1259,Wintu,Wintun,41,237.5,4,6,0,1,0,28,5,1,10,0,0,No,1,1,39.7176,-122.445
xokl1240,Xokleng,Macro-Ge,-24.5,310,2,4,1,0,0,15,9,1,15,0,,,2,1,-26.9217,-49.5886
xooo1239,West!Xoon,Tuu,-23.59,19.15,6,7,2,3,0,85,5,5,30,0,2,,2,0,-23.59,19.15
yaga1260,Hua,NuclearTNG,-6.33,145.42,2,3,0,0,0,15,5,0,5,,2,No,4,1,-6.32432,145.388
yagu1244,Yagua,Zaparo-Yagua(Peba-Yagua),-3.5,288,1,4,1,0,0,11,7,1,14,,2,,1,1,-3.42913,-72.2186
yaku1245,Yakut,Turkic,62,130,2,4,0,0,0,19,8,1,16,8,0,No,1,1,61.69744,133.98031
yalu1240,Jalonke(Yalunka),Mande,9.97,-11.28,2,4,0,0,,17,7,1,14,0,0,,1,1,9.97186,-11.2836
yane1238,Yanesha'(Amuesha),Arawakan,-10.5,284.58,1,5,1,0,0,19,5,1,10,,0,No,1,1,-10.5454,-75.315
yecu1235,Totonac(Misantla),Totonac-Tepehuan,19.92,263.08,1,5,0,0,0,16,3,2,12,0,0,No,2,2,20.1765,-96.8741
yele1255,YeliDnye/Yele,Yele(isolate),-11.38,154.13,1,7,2,3,0,40,10,2,34,,,No,1,1,-11.3796,154.127
yess1239,Yessan-Mayo,Sepik,-4.16,142.57,2,3,1,0,0,16,4,0,4,,0,No,1,2,-4.15721,142.574
yima1243,Yimas,LowerSepik,-4.67,143.55,1,4,0,0,0,12,4,0,4,0,0,No,2,2,-4.71731,143.572
yoku1256,Yokuts(Yawelmani),Yokutsan(maybeYokuts-Utian),35,240,3,4,0,1,0,33,5,1,10,0,0,No,1,1,36.3167,-119.721
yoru1245,Yoruba,Atlantic-Congo,8,4.33,2,5,0,1,,17,7,1,10,0,3,,1,0,7.15345,3.67225
yura1255,Yurakare,Yurakare(isolate),-16.75,343.25,2,4,0,0,1,18,7,0,7,,0,Yes,1,1,-16.7479,-65.1224
yuro1248,Yurok,Algic,41.33,236,2,4,1,1,0,23,6,0,6,0,0,No,2,3,41.3262,-123.824
zaca1242,ZacatepecEasternChatino,Otomanguean,16.08,343.92,1,5,0,0,0,18,5,2,18,,5,No,2,1,16.08,-97.3069
zulu1248,Zulu(Southern),Atlantic-Congo,-28.9,30.2,9,5,1,2,0,50,5,0,5,0,2,,3,0,-28.9,30.2
zuni1245,Zuni,Zuni(isolate),35.08,251.17,1,4,1,0,0,16,5,1,10,,0,No,1,1,35.0056,-108.782
